"","geoid","less_than_9","grade_9_12","high_school","some_college","associates","bachelors","graduate_or_professional","without_hs","college","med_income","pop"
"1","36001",2.5,5,24.7,16,11.3,21.1,19.5,7.5,40.6,62293,308580
"2","36003",3.6,7,37.8,18.7,13,9.9,9.9,10.6,19.8,45359,47400
"3","36005",14.5,14,27.6,17.5,7,12.5,6.9,28.5,19.4,36593,1455846
"4","36007",2.7,6.9,31.4,18.5,12.6,15.7,12.4,9.6,28.1,49064,196124
"5","36009",3.8,7.9,39.5,17.4,12.5,10.7,8.2,11.7,18.9,45571,78175
"6","36011",3,9.4,32.6,19,13.5,13.6,8.9,12.4,22.5,54664,78319
"7","36013",4,7.5,35.6,18.4,13.2,11.7,9.5,11.5,21.2,44304,130846
"8","36015",2.6,7,35.3,17.9,12.1,13.6,11.6,9.6,25.2,51251,86883
"9","36017",3.1,9,38.9,18.3,12,10.3,8.3,12.1,18.6,48567,48763
"10","36019",4.6,8.7,37.1,17.9,9.9,11.2,10.6,13.3,21.8,52759,81224
"11","36021",3.7,6.9,30.9,17.4,11.1,15.6,14.6,10.6,30.2,61093,61481
"12","36023",2.6,6.9,34.1,17,13.4,14.8,11.2,9.5,26,52451,48334
"13","36025",3.2,9.1,37.6,16.1,12.3,12.1,9.5,12.3,21.6,47921,45950
"14","36027",3.2,6.4,26.2,19.2,10.4,19.1,15.5,9.6,34.6,75585,295685
"15","36029",2.8,6,28,18.4,11.9,18.3,14.6,8.8,32.9,54006,923995
"16","36031",3,6.1,33.3,20.2,10.7,14.5,12.2,9.1,26.7,55294,38233
"17","36033",4.8,8.9,37.2,18.6,11.8,9,9.6,13.7,18.6,50733,51054
"18","36035",3.3,9.7,35.7,20,13.6,9.8,7.9,13,17.7,48033,53955
"19","36037",1.8,7.1,35.9,19.4,14.4,12.7,8.8,8.9,21.5,54033,58537
"20","36039",3.4,10.7,36.5,15.7,11.7,12.5,9.6,14.1,22.1,53214,47791
"21","36041",2.4,9.8,32,23.5,12.2,8.7,11.3,12.2,20,55587,4646
"22","36043",3.4,6.8,36.5,19.2,13.4,12,8.8,10.2,20.8,49077,62943
"23","36045",2.6,7.2,33.6,23,12.3,12.4,9.1,9.8,21.5,50322,116567
"24","36047",9.7,9.6,25.7,13.6,6.2,21.2,13.9,19.3,35.1,52782,2635121
"25","36049",2.7,7.4,45.9,15.4,12.2,9.1,7.2,10.1,16.3,51475,26845
"26","36051",2.7,8.2,33.4,19.2,12.8,13.1,10.5,10.9,23.6,53654,64373
"27","36053",2.6,6.3,34.4,17.6,12,15.6,11.5,8.9,27.1,58365,71760
"28","36055",3.1,6.6,24.3,17.3,11.7,20.6,16.4,9.7,37,55272,748680
"29","36057",4.8,10,35.3,19.3,13.6,10.1,6.9,14.8,17,47449,49500
"30","36059",4.7,4.3,23.3,15.5,7.9,24.3,20,9,44.3,105744,1363069
"31","36061",7,6.2,12.4,9.8,3.8,31.6,29.1,13.2,60.7,79781,1653877
"32","36063",2.7,6.4,34.7,20.2,12.6,13.7,9.8,9.1,23.5,51656,212675
"33","36065",4.6,7.3,33.4,19,11.8,14.2,9.7,11.9,23.9,51316,232324
"34","36067",2.9,6.3,25.5,18.1,12.2,19.6,15.4,9.2,35,57271,467669
"35","36069",2.1,4.7,28.1,17.9,13.6,18.8,14.9,6.8,33.7,61710,109491
"36","36071",3.6,6.6,29.6,20.5,10.2,17.1,12.4,10.2,29.5,75146,378174
"37","36073",4.1,8.9,39.4,21.7,9.9,9.7,6.2,13,15.9,49223,41584
"38","36075",3.5,9.5,38.3,17.9,12.4,10.5,7.8,13,18.3,51755,119833
"39","36077",2.5,6.5,32.7,16.9,11.9,15.3,14.3,9,29.6,51254,60750
"40","36079",3.7,3.5,27.8,17.1,9.4,22.2,16.4,7.2,38.6,99608,99464
"41","36081",10.5,8.4,27.7,14.6,8,19.5,11.3,18.9,30.8,62008,2339280
"42","36083",2.5,5.8,28.9,18.8,14.3,17,12.8,8.3,29.8,63166,159800
"43","36085",4.7,6.6,31.4,17.4,7.8,19.1,13,11.3,32.1,76244,475948
"44","36087",5.9,6.8,22.2,16.6,8.1,22,18.5,12.7,40.5,88571,325027
"45","36089",4,7.9,36.2,17.9,10.9,11.6,11.6,11.9,23.2,48330,110817
"46","36091",1.7,4.4,24.8,17.1,11.6,23.3,17,6.1,40.3,77548,226632
"47","36093",3.5,6.3,29.5,17.1,12.8,17.3,13.5,9.8,30.8,61315,155239
"48","36095",3.4,8,37,17.6,12.4,12.7,8.9,11.4,21.6,51842,31611
"49","36097",3.1,7.1,38.5,18.9,10.3,11.9,10.2,10.2,22.1,47810,18112
"50","36099",4.7,9.3,35.4,18.2,11.9,11.9,8.6,14,20.5,51601,34843
"51","36101",3.2,6.9,37.2,16.9,13.3,11.6,11,10.1,22.6,50157,97539
"52","36103",4.6,5.3,28.4,17.6,9.2,19.1,15.8,9.9,34.9,92838,1497595
"53","36105",4.2,9.4,33.3,18.4,11.4,13.4,9.9,13.6,23.3,53877,75783
"54","36107",2.2,7.8,35.6,18.4,11.3,15.7,9.1,10,24.8,57153,49322
"55","36109",1.3,4.2,19.9,12.6,9.4,22.8,29.8,5.5,52.6,56200,104415
"56","36111",3,6.4,30.4,18.7,10.2,17.2,14.2,9.4,31.4,61652,180129
"57","36113",2.7,5.6,32.9,18.6,11,15.6,13.7,8.3,29.3,60222,64701
"58","36115",3.6,8,39.2,18.7,10.7,11.6,8.2,11.6,19.8,52527,62183
"59","36117",3.5,6.9,35.3,19.3,13.2,12.8,8.9,10.4,21.7,53693,91442
"60","36119",6.7,5.8,19.5,14.1,6.2,23.9,23.8,12.5,47.7,89968,975321
"61","36121",3.5,8.2,41.3,18.2,13.4,9.7,5.8,11.7,15.5,55459,40886
"62","36123",8.2,5.7,34.3,17.5,10.3,13.4,10.6,13.9,24,51758,25083
